functionname	protocol	device	subdevice	function
100%	nec1	4	172	31
light down	nec1	4	172	79
light up	nec1	4	172	21
right	nec1	4	172	78
left	nec1	4	172	85
mode	nec1	4	172	30
on off	nec1	4	172	74
