functionname	protocol	device	subdevice	function
play	nec1	122	-1	0
stop	nec1	122	-1	3
skip forward	nec1	122	-1	2
skip back	nec1	122	-1	1
fast forward	nec1	122	-1	2
rewind	nec1	122	-1	1
pause	nec1	122	-1	3
record	nec1	122	-1	4
