functionname	protocol	device	subdevice	function
display	RC5	20	-1	10
Power	RC5	20	-1	12
Volume +	RC5	20	-1	16
Volume -	RC5	20	-1	17
input up	RC5	20	-1	30
input down	RC5	20	-1	31
